Адрес,lat,lon
"пр-т. Партизанский, д. 105",53.8696028,27.648529
"пр-т. Партизанский, д.68",53.8725043,27.6372385
"Филатова, 5а",53.8719559,27.6339656
"Строителей, 6",53.8675411,27.6631715
"Байкальская, 66/2",53.8705883,27.6813053
"Ангарская, 48",53.8749718,27.687303
"Ангарская, 80",53.8776239,27.6815098
"Герасименко, 58-1",53.8860198,27.6792606
"Герасименко, д.27",53.8788826,27.6897904
"пер. Томский, д. 35",53.8709718,27.6804369
"Красина, д. 49",53.8246719,27.7644564
"Павловского, д. 40",53.8249383,27.7625457
"пр-д. Голодеда, д.7",53.8361845,27.6139075
"пр-д. Ташкентский, д.12",53.8354502,27.6275755
"Уборевича, д.160",53.8352182,27.6473059
"Шабаны, д. 3",53.8422714,27.6992806
"Яна Райниса, д. 5",53.8741914,27.6102592
"Игуменский тракт, 16",53.8450361,27.5685197
"Сырокомли, 30",53.8445814,27.5650101
"Сырокомли, д. 30",53.841321,27.5613346
"Чижевских, 134",53.8477947,27.5817036
"Игуменский тракт, 45",53.8373397,27.5755466
"Прушинских, 28",53.8348005,27.5856626
"Прушинских, 42",53.8359305,27.579416
"Прушинских, д. 24",53.8349765,27.5789432
"Козыревская, 16/29",53.8609743,27.5679968
"Козыревская, д.34",53.8630335,27.5675798
"Денисовская, д.49",53.8732491,27.5785236
"Маяковского, 166А",53.8626833,27.5703061
"Маяковского, 20",53.8784172,27.5676279
"Солнечная, 31",53.8642096,27.568877
"Бородинская, 35",53.8598482,27.5707115
"Маяковского, д. 99",53.8851062,27.5672945
"Маяковского, д.154",53.8853484,27.5673292
"Солнечная, 30-2",53.8638769,27.5713073
"пр-т. Рокоссовского, 25/2",53.8672982,27.6018168
"пр-т. Рокоссовского, д. 78",53.864546,27.603234
"Плеханова, 42",53.8641143,27.6091899
"Плеханова, 58/2",53.8724107,27.6247029
"Плеханова, 93",53.8606735,27.6029549
"Якубова, 48/2",53.8524724,27.5960267
"Якубова, 66-3",53.8524724,27.5960267
"Малинина, 30",53.8514602,27.601134
"Горовца, 34/2",53.874287,27.6042169
"Плеханова, д. 42",53.8630214,27.6068894
"пр-т. Рокосовского, д. 108",53.8757489,27.5972042
"Якубова, 32",53.8547071,27.5961643
"Яна Чечота, 26",53.8452538,27.4823965
"Яна Чечота, д.11",53.8489882,27.4796831
"Чюрлениса, д.26",53.8531723,27.491371
"Яна Чечота, 11",53.8502483,27.484444
"Яна Чечота, 7",53.8496419,27.4781107
"Наполеона Орды, д. 23",53.8449256,27.4851385
"Наполеона Орды, д.27",53.8449256,27.4851385
"Наполеона Орды, д.33",53.8460902,27.4870627
